date,fg_bbl,stm_esston,elec_kwh,cdu_bbl,atm_temp,rain_mm,fg_mj,stm_mj,elec_mj,total_mj,sec_mj_per_bbl,fg_cost_mwon,stm_cost_mwon,elec_cost_mwon,total_cost_mwon,unit_cost_won_per_bbl,cqi_avg,cqi_level
2025-11-07,67191,7062,4328912,635627,18.5887,0.0,425.34859403999997,21.88386684,41.3411096,488.57357047999994,768.6482331304366,7603.736706,213.90770820440918,766.217424,8583.86183820441,13504.55823651986,0.21112577756322307,High
2025-11-08,67385,7028,4302685,636158,18.4373,0.0116,426.5766994,21.77850696,41.09064175,489.44584811000004,769.3778088305107,7625.69091,212.8778495129691,761.575245,8600.14400451297,13518.880536773837,0.3691017187098848,High
2025-11-09,67095,8188,4273403,639279,17.7749,0.0481,424.7408718,25.37313816,40.81099865000001,490.92500860999996,767.9354532371624,7592.87277,248.01420486798392,756.392331,8597.279305867984,13448.399377842825,0.9186826141574866,Medium
2025-11-10,66882,10438,4234703,639387,15.8753,0.0,423.39248807999996,32.34548316,40.44141365000001,496.17938489,776.0235739700681,7568.768412,316.1666182721075,749.542431,8634.477461272108,13504.305625970042,1.8431991368334497,Low
2025-11-11,68383,11428,4182284,636679,14.6341,0.0,432.89447852,35.41331496,39.9408122,508.24860567999997,798.2807752101137,7738.630578,346.15368016992187,740.264268,8825.048526169923,13861.064250854706,1.2802828371424428,Low
2025-11-12,67439,11185,4188507,641421,15.7793,0.0,426.91854315999996,34.660301700000005,40.00024185,501.57908670999996,781.981080616319,7631.801874,338.7932195222765,741.365739,8711.960832522276,13582.28189055593,0.4242217646944515,High
2025-11-13,67968,10528,4208540,647872,17.8327,0.0,430.26734591999997,32.62437696,40.191557,503.08327987999996,776.516472204386,7691.666688,318.89271480827244,744.91158,8755.470982808272,13514.198765818359,0.8607408243217712,Medium
2025-11-14,68395,9958,4217924,646813,17.1452,0.0,432.97044379999994,30.85804956,40.2811742,504.10966755999993,779.3746686600299,7739.98857,301.62743674589444,746.572548,8788.188554745895,13586.90773801067,0.8113691800309702,Medium
2025-11-15,68410,8498,4227432,649280,15.4197,0.0,433.0654004,26.333772360000005,40.3719756,499.77114836,769.7313152414982,7741.68606,257.4040929369965,748.255464,8747.345616936997,13472.37804481425,1.228656371569811,Low
2025-11-16,68290,7741,4184988,648857,17.1743,0.0,432.30574759999996,23.98796562,39.96663540000001,496.26034862,764.8223701370256,7728.10614,234.47459207169803,740.742876,8703.323608071698,13413.315427084392,0.8101122129199042,Medium
2025-11-17,67547,8217,4153529,648534,13.6363,0.0,427.60223067999993,25.46300394,39.66620195,492.73143656999997,759.7619192979859,7644.023802,248.89261375185927,735.174633,8628.09104875186,13303.991847384808,0.24126784231604104,High
2025-11-18,67244,8378,4174150,649956,8.2881,0.0,425.6841073599999,25.96191396,39.8631325,491.50915381999994,756.2191191711438,7609.734504,253.76929755544322,738.82455,8602.328351555443,13235.24723451348,0.20459275008019906,High
2025-11-19,67659,8182,4145488,647512,9.6922,0.0,428.31123995999997,25.354545240000004,39.589410400000006,493.2551956,761.7699681241428,7656.698394,247.83246509890625,733.751376,8638.282235098906,13340.72918355012,0.4745451563264373,High
2025-11-20,67005,8840,4115623,646542,12.9163,0.0,424.1711322,27.3935688,39.30419965000001,490.86890065,759.2219850373216,7582.68783,267.76325977442326,728.465271,8578.916360774423,13268.923535941087,0.5067784099755837,Medium
2025-11-21,67551,9201,4115319,644835,13.5987,0.0,427.62755244,28.51224282,39.30129645,495.44109170999997,768.3222711391286,7644.476466,278.697935880596,728.411463,8651.585864880595,13416.743608644992,0.49663370169600113,High
2025-11-22,66753,9064,4124716,647252,14.6999,0.0,422.57586132,28.08770448,39.39103780000001,490.0546036,757.1310766131276,7554.169998,274.5482111533227,730.074732,8558.792941153322,13223.277705056644,0.23080869967519468,High
2025-11-23,66277,8220,4126118,647367,15.1661,0.0,419.56257188,25.4723004,39.404426900000004,484.43929918000003,748.3225113112037,7500.302982,248.98348363639812,730.322886,8479.609351636398,13098.612304359658,0.6892253506994058,Medium
2025-11-24,66436,7549,4094324,639794,17.0691,0.0,420.56911183999995,23.39299218,39.1007942,483.06289821999997,755.028803364833,7518.296376,228.6589194612128,724.695348,8471.650643461213,13241.216146855415,0.5780545218089256,Medium
2025-11-25,66257,7712,4122839,633872,14.3434,0.0,419.43596307999996,23.89809984,39.37311245,482.70717536999996,761.5215301669737,7498.039662,233.59618318782267,729.742503,8461.378348187824,13348.71764045079,0.35328247393258,High
2025-11-26,66482,7387,4091009,635956,12.4482,0.0,420.86031207999997,22.89098334,39.06913595,482.82043136999994,759.2041452081589,7523.502012,223.7519456961159,724.108593,8471.362550696116,13320.673994263938,0.5619208680580373,Medium
